PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,ZIP
9/1/2015,75,67,58,94107
9/2/2015,73,68,62,94107
9/3/2015,70,65,60,94107
9/4/2015,72,64,55,94107
9/5/2015,79,65,51,94107
9/6/2015,84,68,52,94107
9/7/2015,91,73,54,94107
9/8/2015,95,76,57,94107
9/9/2015,93,77,60,94107
9/10/2015,89,74,59,94107
9/11/2015,79,70,60,94107
9/12/2015,75,67,58,94107
9/13/2015,76,68,59,94107
9/14/2015,73,67,60,94107
9/15/2015,70,65,59,94107
9/16/2015,73,66,58,94107
9/17/2015,73,65,57,94107
9/18/2015,79,67,54,94107
9/19/2015,88,71,53,94107
9/20/2015,91,74,56,94107
9/21/2015,91,76,61,94107
9/22/2015,66,62,57,94107
9/23/2015,76,64,52,94107
9/24/2015,89,73,56,94107
9/25/2015,75,66,57,94107
9/26/2015,74,65,55,94107
9/27/2015,73,65,56,94107
9/28/2015,70,62,54,94107
9/29/2015,68,64,60,94107
9/30/2015,65,61,57,94107
10/1/2015,73,67,60,94107
10/2/2015,74,64,54,94107
10/3/2015,71,62,53,94107
10/4/2015,73,63,52,94107
10/5/2015,76,65,53,94107
10/6/2015,75,66,56,94107
10/7/2015,76,67,58,94107
10/8/2015,82,68,54,94107
10/9/2015,80,67,53,94107
10/10/2015,72,67,61,94107
10/11/2015,76,66,56,94107
10/12/2015,85,69,53,94107
10/13/2015,88,73,58,94107
10/14/2015,78,68,58,94107
10/15/2015,70,66,61,94107
10/16/2015,74,67,60,94107
10/17/2015,71,66,60,94107
10/18/2015,71,66,61,94107
10/19/2015,70,64,58,94107
10/20/2015,80,67,53,94107
10/21/2015,77,64,51,94107
10/22/2015,73,63,52,94107
10/23/2015,75,63,51,94107
10/24/2015,75,63,51,94107
10/25/2015,70,63,56,94107
10/26/2015,75,66,56,94107
10/27/2015,72,64,56,94107
10/28/2015,70,63,56,94107
10/29/2015,74,63,52,94107
10/30/2015,76,62,48,94107
10/31/2015,75,64,53,94107
11/1/2015,70,63,55,94107
11/2/2015,64,58,51,94107
11/3/2015,66,56,45,94107
11/4/2015,67,56,45,94107
11/5/2015,65,54,43,94107
11/6/2015,67,56,45,94107
11/7/2015,67,55,43,94107
11/8/2015,62,55,47,94107
11/9/2015,59,54,49,94107
11/10/2015,61,52,42,94107
11/11/2015,61,50,39,94107
11/12/2015,64,52,40,94107
11/13/2015,69,56,42,94107
11/14/2015,64,52,40,94107
11/15/2015,62,32,1,94107
11/16/2015,62,54,46,94107
11/17/2015,62,56,49,94107
11/18/2015,64,53,41,94107
11/19/2015,67,55,43,94107
11/20/2015,68,57,45,94107
11/21/2015,73,58,42,94107
11/22/2015,63,53,43,94107
11/23/2015,59,52,45,94107
11/24/2015,58,53,47,94107
11/25/2015,54,46,38,94107
11/26/2015,56,46,35,94107
11/27/2015,59,47,34,94107
11/28/2015,58,49,39,94107
11/29/2015,55,45,35,94107
11/30/2015,53,44,35,94107
12/1/2015,56,48,39,94107
12/2/2015,56,50,43,94107
12/3/2015,59,50,41,94107
12/4/2015,59,50,41,94107
12/5/2015,54,47,40,94107
12/6/2015,63,54,44,94107
12/7/2015,59,54,49,94107
12/8/2015,61,54,46,94107
12/9/2015,66,60,53,94107
12/10/2015,62,56,49,94107
12/11/2015,58,51,43,94107
12/12/2015,57,48,39,94107
12/13/2015,56,52,47,94107
12/14/2015,56,50,44,94107
12/15/2015,62,49,35,94107
12/16/2015,56,47,37,94107
12/17/2015,58,48,38,94107
12/18/2015,59,52,45,94107
12/19/2015,56,51,46,94107
12/20/2015,53,46,39,94107
12/21/2015,57,54,50,94107
12/22/2015,59,56,52,94107
12/23/2015,56,52,47,94107
12/24/2015,55,48,41,94107
12/25/2015,53,44,35,94107
12/26/2015,55,45,34,94107
12/27/2015,49,40,30,94107
12/28/2015,48,42,36,94107
12/29/2015,52,42,32,94107
12/30/2015,53,44,34,94107
12/31/2015,54,44,34,94107
1/1/2016,52,44,35,94107
1/2/2016,53,48,43,94107
1/3/2016,59,52,44,94107
1/4/2016,62,55,47,94107
1/5/2016,55,52,49,94107
1/6/2016,54,51,48,94107
1/7/2016,58,50,42,94107
1/8/2016,53,48,42,94107
1/9/2016,56,53,49,94107
1/10/2016,58,53,48,94107
1/11/2016,60,55,49,94107
1/12/2016,62,55,47,94107
1/13/2016,59,53,46,94107
1/14/2016,56,50,43,94107
1/15/2016,60,53,46,94107
1/16/2016,61,56,51,94107
1/17/2016,59,58,56,94107
1/18/2016,63,58,52,94107
1/19/2016,62,57,52,94107
1/20/2016,60,53,46,94107
1/21/2016,62,56,50,94107
1/22/2016,60,57,54,94107
1/23/2016,58,55,51,94107
1/24/2016,58,50,42,94107
1/25/2016,60,55,49,94107
1/26/2016,60,52,43,94107
1/27/2016,63,55,47,94107
1/28/2016,59,52,44,94107
1/29/2016,61,58,54,94107
1/30/2016,59,55,51,94107
1/31/2016,57,53,49,94107
2/1/2016,58,50,42,94107
2/2/2016,58,50,42,94107
2/3/2016,57,49,40,94107
2/4/2016,62,54,45,94107
2/5/2016,63,52,40,94107
2/6/2016,62,52,43,94107
2/7/2016,74,59,44,94107
2/8/2016,79,66,52,94107
2/9/2016,70,58,46,94107
2/10/2016,68,58,48,94107
2/11/2016,74,61,48,94107
2/12/2016,66,57,47,94107
2/13/2016,66,59,51,94107
2/14/2016,71,59,47,94107
2/15/2016,74,63,51,94107
2/16/2016,76,63,50,94107
2/17/2016,69,61,52,94107
2/18/2016,63,57,50,94107
2/19/2016,63,56,49,94107
2/20/2016,60,51,42,94107
2/21/2016,64,53,41,94107
2/22/2016,69,57,44,94107
2/23/2016,68,56,44,94107
2/24/2016,70,58,45,94107
2/25/2016,72,61,49,94107
2/26/2016,66,59,51,94107
2/27/2016,68,60,51,94107
2/28/2016,66,57,47,94107
2/29/2016,72,61,49,94107
3/1/2016,71,61,50,94107
3/2/2016,67,60,52,94107
3/3/2016,65,62,59,94107
3/4/2016,65,62,59,94107
3/5/2016,65,61,56,94107
3/6/2016,62,57,51,94107
3/7/2016,59,54,49,94107
3/8/2016,59,51,42,94107
3/9/2016,63,58,52,94107
3/10/2016,64,62,59,94107
3/11/2016,59,56,53,94107
3/12/2016,60,56,52,94107
3/13/2016,60,58,56,94107
3/14/2016,62,56,50,94107
3/15/2016,66,55,44,94107
3/16/2016,70,58,46,94107
3/17/2016,75,62,49,94107
3/18/2016,64,58,52,94107
3/19/2016,67,61,54,94107
3/20/2016,66,59,52,94107
3/21/2016,65,59,52,94107
3/22/2016,63,55,47,94107
3/23/2016,67,57,47,94107
3/24/2016,68,58,47,94107
3/25/2016,67,59,50,94107
3/26/2016,67,58,48,94107
3/27/2016,64,59,53,94107
3/28/2016,63,57,50,94107
3/29/2016,65,54,43,94107
3/30/2016,63,56,48,94107
3/31/2016,64,59,54,94107
4/1/2016,63,58,53,94107
4/2/2016,69,60,51,94107
4/3/2016,63,57,51,94107
4/4/2016,68,61,54,94107
4/5/2016,79,64,48,94107
4/6/2016,86,72,57,94107
4/7/2016,72,65,57,94107
4/8/2016,68,63,57,94107
4/9/2016,64,61,58,94107
4/10/2016,59,57,55,94107
4/11/2016,66,60,54,94107
4/12/2016,63,59,54,94107
4/13/2016,65,60,54,94107
4/14/2016,65,57,49,94107
4/15/2016,70,60,50,94107
4/16/2016,80,64,48,94107
4/17/2016,81,67,52,94107
4/18/2016,81,67,53,94107
4/19/2016,79,66,53,94107
4/20/2016,74,62,49,94107
4/21/2016,76,67,58,94107
4/22/2016,65,61,57,94107
4/23/2016,67,59,50,94107
4/24/2016,69,61,52,94107
4/25/2016,68,59,50,94107
4/26/2016,66,57,47,94107
4/27/2016,65,60,54,94107
4/28/2016,68,58,48,94107
4/29/2016,66,59,52,94107
4/30/2016,82,69,55,94107
5/1/2016,80,68,55,94107
5/2/2016,68,61,53,94107
5/3/2016,69,62,54,94107
5/4/2016,69,63,56,94107
5/5/2016,68,63,57,94107
5/6/2016,60,58,56,94107
5/7/2016,62,60,57,94107
5/8/2016,67,62,56,94107
5/9/2016,66,60,54,94107
5/10/2016,68,61,54,94107
5/11/2016,67,60,53,94107
5/12/2016,66,60,53,94107
5/13/2016,67,62,57,94107
5/14/2016,71,64,57,94107
5/15/2016,69,63,57,94107
5/16/2016,73,65,56,94107
5/17/2016,88,70,52,94107
5/18/2016,76,67,57,94107
5/19/2016,67,61,55,94107
5/20/2016,64,59,53,94107
5/21/2016,68,62,55,94107
5/22/2016,68,62,56,94107
5/23/2016,68,62,55,94107
5/24/2016,65,61,57,94107
5/25/2016,66,62,57,94107
5/26/2016,70,63,55,94107
5/27/2016,75,64,53,94107
5/28/2016,82,69,56,94107
5/29/2016,73,64,55,94107
5/30/2016,73,64,54,94107
5/31/2016,77,66,54,94107
6/1/2016,71,63,54,94107
6/2/2016,76,67,57,94107
6/3/2016,89,72,54,94107
6/4/2016,77,67,57,94107
6/5/2016,75,65,55,94107
6/6/2016,68,62,55,94107
6/7/2016,70,65,59,94107
6/8/2016,70,65,59,94107
6/9/2016,66,63,59,94107
6/10/2016,70,63,55,94107
6/11/2016,82,67,51,94107
6/12/2016,76,66,55,94107
6/13/2016,67,62,57,94107
6/14/2016,68,62,56,94107
6/15/2016,67,61,55,94107
6/16/2016,73,66,58,94107
6/17/2016,72,66,59,94107
6/18/2016,76,67,57,94107
6/19/2016,87,72,56,94107
6/20/2016,75,65,54,94107
6/21/2016,80,67,54,94107
6/22/2016,67,61,54,94107
6/23/2016,73,64,55,94107
6/24/2016,75,66,56,94107
6/25/2016,79,67,55,94107
6/26/2016,78,67,55,94107
6/27/2016,75,65,54,94107
6/28/2016,72,64,55,94107
6/29/2016,64,59,54,94107
6/30/2016,74,65,56,94107
7/1/2016,69,62,54,94107
7/2/2016,72,64,55,94107
7/3/2016,70,63,56,94107
7/4/2016,71,64,57,94107
7/5/2016,68,63,57,94107
7/6/2016,65,61,57,94107
7/7/2016,65,61,57,94107
7/8/2016,68,62,55,94107
7/9/2016,74,67,59,94107
7/10/2016,77,67,57,94107
7/11/2016,73,63,53,94107
7/12/2016,71,64,57,94107
7/13/2016,80,70,59,94107
7/14/2016,72,64,56,94107
7/15/2016,70,63,56,94107
7/16/2016,73,65,57,94107
7/17/2016,68,63,58,94107
7/18/2016,70,64,58,94107
7/19/2016,70,64,57,94107
7/20/2016,70,63,56,94107
7/21/2016,71,64,56,94107
7/22/2016,74,65,56,94107
7/23/2016,77,66,54,94107
7/24/2016,73,65,56,94107
7/25/2016,73,65,56,94107
7/26/2016,83,69,54,94107
7/27/2016,77,67,57,94107
7/28/2016,75,66,56,94107
7/29/2016,73,65,56,94107
7/30/2016,69,63,57,94107
7/31/2016,70,64,58,94107
8/1/2016,72,65,58,94107
8/2/2016,71,64,57,94107
8/3/2016,72,64,55,94107
8/4/2016,66,62,58,94107
8/5/2016,68,63,57,94107
8/6/2016,67,62,57,94107
8/7/2016,71,64,57,94107
8/8/2016,73,65,57,94107
8/9/2016,74,66,57,94107
8/10/2016,73,65,56,94107
8/11/2016,72,65,58,94107
8/12/2016,71,65,58,94107
8/13/2016,75,66,56,94107
8/14/2016,71,64,57,94107
8/15/2016,69,63,56,94107
8/16/2016,70,64,57,94107
8/17/2016,70,64,57,94107
8/18/2016,72,66,59,94107
8/19/2016,70,65,59,94107
8/20/2016,69,65,60,94107
8/21/2016,70,65,60,94107
8/22/2016,69,64,59,94107
8/23/2016,71,66,60,94107
8/24/2016,69,64,58,94107
8/25/2016,69,63,57,94107
8/26/2016,73,68,62,94107
8/27/2016,72,67,61,94107
8/28/2016,72,66,60,94107
8/29/2016,73,66,59,94107
8/30/2016,74,68,61,94107
8/31/2016,72,66,59,94107
9/1/2015,77,68,59,94063
9/2/2015,73,68,62,94063
9/3/2015,68,64,59,94063
9/4/2015,69,61,53,94063
9/5/2015,80,66,53,94063
9/6/2015,86,70,55,94063
9/7/2015,91,75,59,94063
9/8/2015,96,78,60,94063
9/9/2015,98,82,66,94063
9/10/2015,91,78,64,94063
9/11/2015,127,94,62,94063
9/12/2015,75,67,59,94063
9/13/2015,75,68,62,94063
9/14/2015,73,66,60,94063
9/15/2015,68,62,57,94063
9/16/2015,71,63,55,94063
9/17/2015,73,66,59,94063
9/18/2015,82,68,55,94063
9/19/2015,89,73,57,94063
9/20/2015,95,78,60,94063
9/21/2015,95,80,64,94063
9/22/2015,71,65,59,94063
9/23/2015,82,68,53,94063
9/24/2015,87,74,60,94063
9/25/2015,80,70,59,94063
9/26/2015,80,70,59,94063
9/27/2015,75,67,59,94063
9/28/2015,73,65,57,94063
9/29/2015,68,64,59,94063
9/30/2015,64,62,59,94063
10/1/2015,75,68,60,94063
10/2/2015,80,68,57,94063
10/3/2015,68,62,55,94063
10/4/2015,75,63,51,94063
10/5/2015,75,66,57,94063
10/6/2015,73,65,57,94063
10/7/2015,77,67,57,94063
10/8/2015,82,70,59,94063
10/9/2015,84,70,57,94063
10/10/2015,77,68,59,94063
10/11/2015,78,68,57,94063
10/12/2015,86,72,57,94063
10/13/2015,91,78,64,94063
10/14/2015,77,70,64,94063
10/15/2015,73,68,62,94063
10/16/2015,75,68,60,94063
10/17/2015,69,66,62,94063
10/18/2015,69,64,59,94063
10/19/2015,69,64,59,94063
10/20/2015,82,68,55,94063
10/21/2015,82,68,53,94063
10/22/2015,77,66,55,94063
10/23/2015,71,63,55,94063
10/24/2015,75,65,55,94063
10/25/2015,73,65,57,94063
10/26/2015,77,66,55,94063
10/27/2015,68,62,57,94063
10/28/2015,69,64,59,94063
10/29/2015,75,66,57,94063
10/30/2015,80,66,53,94063
10/31/2015,82,68,55,94063
11/1/2015,71,63,55,94063
11/2/2015,64,60,55,94063
11/3/2015,64,56,48,94063
11/4/2015,64,56,48,94063
11/5/2015,64,54,44,94063
11/6/2015,68,56,44,94063
11/7/2015,66,55,44,94063
11/8/2015,62,54,46,94063
11/9/2015,55,52,48,94063
11/10/2015,59,52,46,94063
11/11/2015,62,52,41,94063
11/12/2015,62,53,44,94063
11/13/2015,64,54,44,94063
11/14/2015,64,54,44,94063
11/15/2015,59,54,50,94063
11/16/2015,59,52,46,94063
11/17/2015,134,91,48,94063
11/18/2015,66,56,46,94063
11/19/2015,68,58,48,94063
11/20/2015,73,62,51,94063
11/21/2015,69,58,48,94063
11/22/2015,66,57,48,94063
11/23/2015,59,54,48,94063
11/24/2015,69,58,46,94063
11/25/2015,53,47,41,94063
11/26/2015,53,44,35,94063
11/27/2015,55,45,35,94063
11/28/2015,55,46,37,94063
11/29/2015,55,45,35,94063
11/30/2015,51,44,37,94063
12/1/2015,57,49,41,94063
12/2/2015,57,50,44,94063
12/3/2015,59,52,44,94063
12/4/2015,59,52,44,94063
12/5/2015,55,48,41,94063
12/6/2015,60,54,48,94063
12/7/2015,59,56,53,94063
12/8/2015,62,56,50,94063
12/9/2015,66,60,53,94063
12/10/2015,62,56,50,94063
12/11/2015,57,52,46,94063
12/12/2015,57,50,44,94063
12/13/2015,57,52,48,94063
12/14/2015,55,48,41,94063
12/15/2015,55,48,41,94063
12/16/2015,55,46,37,94063
12/17/2015,55,47,39,94063
12/18/2015,59,50,42,94063
12/19/2015,55,52,48,94063
12/20/2015,55,47,39,94063
12/21/2015,59,54,50,94063
12/22/2015,59,55,51,94063
12/23/2015,55,50,46,94063
12/24/2015,53,48,42,94063
12/25/2015,51,45,39,94063
12/26/2015,51,44,37,94063
12/27/2015,46,39,32,94063
12/28/2015,48,44,39,94063
12/29/2015,53,44,35,94063
12/30/2015,51,44,37,94063
12/31/2015,50,44,37,94063
1/1/2016,48,42,35,94063
1/2/2016,50,46,42,94063
1/3/2016,53,48,42,94063
1/4/2016,60,54,48,94063
1/5/2016,55,52,48,94063
1/6/2016,53,50,48,94063
1/7/2016,55,48,42,94063
1/8/2016,53,46,39,94063
1/9/2016,55,52,48,94063
1/10/2016,53,50,48,94063
1/11/2016,57,54,50,94063
1/12/2016,60,54,48,94063
1/13/2016,59,52,46,94063
1/14/2016,57,49,41,94063
1/15/2016,59,54,50,94063
1/16/2016,62,56,51,94063
1/17/2016,60,56,53,94063
1/18/2016,62,58,53,94063
1/19/2016,64,58,50,94063
1/20/2016,59,52,46,94063
1/21/2016,64,57,50,94063
1/22/2016,59,56,53,94063
1/23/2016,57,52,48,94063
1/24/2016,57,50,44,94063
1/25/2016,59,52,46,94063
1/26/2016,60,52,44,94063
1/27/2016,62,55,48,94063
1/28/2016,59,52,46,94063
1/29/2016,64,58,53,94063
1/30/2016,57,54,50,94063
1/31/2016,55,52,48,94063
2/1/2016,55,50,44,94063
2/2/2016,55,50,44,94063
2/3/2016,91,65,39,94063
2/4/2016,59,52,44,94063
2/5/2016,62,52,41,94063
2/6/2016,64,54,44,94063
2/7/2016,68,57,46,94063
2/8/2016,73,60,48,94063
2/9/2016,73,60,48,94063
2/10/2016,68,58,48,94063
2/11/2016,68,59,50,94063
2/12/2016,68,58,48,94063
2/13/2016,68,58,48,94063
2/14/2016,73,60,48,94063
2/15/2016,77,65,53,94063
2/16/2016,75,63,51,94063
2/17/2016,71,60,50,94063
2/18/2016,60,55,50,94063
2/19/2016,62,54,46,94063
2/20/2016,59,52,46,94063
2/21/2016,62,53,44,94063
2/22/2016,68,57,46,94063
2/23/2016,68,58,48,94063
2/24/2016,71,60,48,94063
2/25/2016,68,59,50,94063
2/26/2016,68,60,51,94063
2/27/2016,66,60,53,94063
2/28/2016,64,56,48,94063
2/29/2016,71,60,50,94063
3/1/2016,68,60,53,94063
3/2/2016,66,60,53,94063
3/3/2016,64,60,55,94063
3/4/2016,64,62,59,94063
3/5/2016,62,58,55,94063
3/6/2016,59,54,50,94063
3/7/2016,57,52,46,94063
3/8/2016,59,52,46,94063
3/9/2016,66,58,51,94063
3/10/2016,68,62,57,94063
3/11/2016,57,54,50,94063
3/12/2016,59,52,44,94063
3/13/2016,59,57,55,94063
3/14/2016,59,55,50,94063
3/15/2016,66,56,46,94063
3/16/2016,71,58,46,94063
3/17/2016,75,62,50,94063
3/18/2016,62,56,50,94063
3/19/2016,68,59,50,94063
3/20/2016,66,58,50,94063
3/21/2016,62,56,50,94063
3/22/2016,60,54,48,94063
3/23/2016,66,57,48,94063
3/24/2016,68,57,46,94063
3/25/2016,68,58,48,94063
3/26/2016,68,58,48,94063
3/27/2016,62,58,53,94063
3/28/2016,57,52,48,94063
3/29/2016,62,53,44,94063
3/30/2016,62,53,44,94063
3/31/2016,66,57,48,94063
4/1/2016,64,57,50,94063
4/2/2016,68,60,51,94063
4/3/2016,66,58,50,94063
4/4/2016,68,60,53,94063
4/5/2016,78,64,50,94063
4/6/2016,84,70,55,94063
4/7/2016,71,66,60,94063
4/8/2016,66,62,59,94063
4/9/2016,62,60,57,94063
4/10/2016,57,55,53,94063
4/11/2016,62,58,53,94063
4/12/2016,60,56,53,94063
4/13/2016,64,58,53,94063
4/14/2016,62,56,50,94063
4/15/2016,66,58,50,94063
4/16/2016,80,65,50,94063
4/17/2016,82,68,53,94063
4/18/2016,84,70,55,94063
4/19/2016,80,68,55,94063
4/20/2016,73,62,50,94063
4/21/2016,71,65,59,94063
4/22/2016,62,58,55,94063
4/23/2016,66,58,51,94063
4/24/2016,64,58,51,94063
4/25/2016,62,55,48,94063
4/26/2016,62,54,46,94063
4/27/2016,59,55,51,94063
4/28/2016,69,60,50,94063
